,slug,description
1114,dirty-girl,"Watermelon Zkittlez is an indica-dominant strain from Purple City Genetics (PCG), based out of Oakland, California. The top reported aromas are true to its name — very fruity, sweet, and candy-like. The top reported flavors are fruity watermelon and sweet candy. Watermelon Zkittlez is a cross between Watermelon Zum Zum #3 and OG Eddy. The resulting plant can be cultivated either indoors or outdoors. When grown indoors, it responds well to the Screen of Green, or ScrOG, growing method. It responds well to pruning and cropping techniques to limit the plant height and maximize bud production and has a flowering period of 56 to 63 days. When grown outdoors, it will be ready for harvest by mid-October with a medium yield for both indoor and outdoor cultivation. Watermelon Zkittlez seeds are available for purchase online."
1115,watermelon-zkittlez,"Cresco Labs created Blueberry Space Cake as a combination of Outer Space with Alien Dutchess. The top reported aromas of the Blueberry Space Cake strain are berries, tropical fruit, and spices. Its flavors match with a palate of pineapple, blueberry, and pepper. Blueberry Space Cake is a hybrid strain that is moderately difficult to cultivate. The strain prefers an indoor environment where growing conditions can be appropriately maintained, but skilled outdoor growers should be able to produce successful crops. Blueberry Space Cake flowers in seven to ten weeks indoors or in early October outdoors. Blueberry Space Cake is unavailable as seeds or clones."
1116,blueberry-space-cake,"Grape Kush is an indica-dominant hybrid strain believed to be a cross of Pre-98 Bubba Kush and Romulan Grapefruit, however some online sources claim it’s a descendant of Blueberry. Bred by DJ Short, the genetics behind Grape Kush are still cloaked in mystery. Grape Kush is reported to give off fruity, tangy, sweet aromas similar to sour grapes. It's considered a long-lasting, sedating indica, meaning it's great for nighttime and falling asleep. Given it's reported potency of around 13-30% and long-lasting effects, it's suggested to start out with small doses. Several breeders have bred their own version of Grape Kush, so results will vary depending on the seeds. The plant is reported to contain purple hues and dense buds. While many strains take around 9 weeks to flower, Grape Kush has a quick flowering time of around 6-8 weeks."
1117,grape-kush,"Like many cultivars in the cannabis universe, the origin of Dark Knight varies depending on where you look. Two of the possible sources include botanist Daniel Hernadez and KDS Seeds. Like the origin, Dark Knight strains vary in the genetic lineage with each breeder using different parents to create their rendition of the Caped Crusader. Most online sources say Dark Knight is a cross between Grand Daddy Purple and Purple Kush. Others — such as Generation Health — claim the cultivar is Blueberry and Kryptonite, while the seed bank Seed City believes it to be Black Widow x Mendo Purps crossed with Trinity x JSD. When cultivated from seed outside, Dark Knight takes between 50-70 days to flower. If cultivated indoors the plant will start flowering between 50 - 90 days. Most strains with the Dark Knight moniker require 12 hour light and 12 hours dark to induce flowering. Once mature, Dark Knight produces a high yield of deep-green-colored buds."
1118,dark-knight,"Mr. Nice Seedbank developed Mango Haze from the genetics from its award-winning Super Silver Haze line. According to the breeder, Mango Haze is half Haze, a quarter Skunk #1, and a quarter Northern Lights #5, carrying a ripe mango flavor profile and producing copious amounts of resin. According to the breeder, Mango Haze is mostly sativa, growing between 1 to 1.5 meters, or 3.3 to 5 feet, tall and yielding large clusters of stacked colas in an eight-to-11-week flowering period, depending on the phenotype. The cultivar does best in an indoor growing environment, and requires a fair amount of cultivation expertise to unlock the full potential of the plant."
1119,mango-haze,"The Guice is a cultivar of unconfirmed origins thought to be a combination of GG4 and Orange Valley OG. The top reported aromas of The Guice are sweet citrus and hash. It is said to taste of coffee, tart fruit, and spices. The Guice is a medium-height hybrid with heavy yields and a fast flowering time. The strain requires regular pruning of its wide fan leaves to encourage light penetration and air circulation to its lower branches. The Guice reaches maturity in 49 to 63 days indoors and by late September outdoors. Growers seeking to tease out the plant’s purple coloring should expose The Guice to cooler evening temperatures right before harvest. The Guice is available as seeds, and clones may be available directly from cultivators growing this strain."
1120,the-guice,"First bred by Green House Seeds, Hawaiian Snow is a three-way cross of Purple Haze, Hawaiian Haze, and Neville's Haze. Its flavor is characterized by sweet tropical pine with a citrus hint. The strain is 100% sativa with users describing a creative and energizing high that fades into a euphoric dreaminess. With heavy THC content and a delightfully sweet flavor palate, Hawaiian Snow won multiple Cannabis Cup prizes in 2003, 2007, and 2011. Hawaiian Snow grows well both indoors — flowering in 14 weeks — and outdoors — flowering in late-October to early November. Patience is a virtue with Hawaiian Snow, as the longer growth cycle can lead to immense yields of up to 35 ounces per plant."
1121,hawaiian-snow,"Dank Genetics created the Purple Sunset cultivar as a combination of Purple Punch and Sunset Sherbert. The top reported aromas of Purple Sunset are flowers, fruit, and sugar. It is said to taste similar. Purple Sunset is an indica-leaning hybrid that’s an easy plant to grow, even for novice cultivators. The cultivar produces strong, lateral branches and thick stalks that resist most pests and environmental hardships, making it a decent choice for indoor and outdoor gardens. Purple Sunset flowers in 63 to 70 days indoors and by mid-October outside. At full maturity, Purple Sunset develops deep violet coloring throughout the plant, while its flowers sparkle with a thick blanket of resin. Purple Sunset is available as seeds. Clones may be available directly from cultivators growing this strain."
1122,purple-sunset,"Night Train by Elemental Wellness is a combination of Jasmine and Trainwreck. The top reported aromas of the Night Train strain are spices, earth, and skunk. It is said to taste of pepper, skunk, and chemicals. Night Train is a hybrid that leans slightly indica and is resistant to most environmental hardships and molds. The strain thrives in both indoor and outdoor environments, while indoor grows produce larger yields through the Sea of Green (SOG) method. Night Train flowers in 56 to 63 days indoors and mid-October outside. In ideal conditions, Night Train produces up to 12 ounces of bud per plant, a below-average yield. Night Train is available as seeds only. Clones may be available directly from cultivators growing this strain."
1123,night-train,"Subcool Seeds/TGA Genetics created Cuvée, which usually refers to a blending of fine wines or champagne, from the Oregon Pinot Noir and Space Queen strains to get a plant with very high resin production and a sweet, chocolatey flavor profile, according to Seedsman seed bank. Seedsman says it produces relaxing, sedative effects. The hybrid is mostly indica, which explains its short growth and medium flowering period. Cuvée grows well indoors or outdoors"
1124,cuvee,"Inbred from various landrace indica strains, Purple Afghani produces a stout plant with a subtle aroma and hashy flavor from BC Bud Depot in Canada. Purple Afghani has a flowering time of 56-63 days at which point the dark green leaves and calyxes of this indica-dominant hybrid turn purple."
1125,purple-afghani,"Created by the team at Big Buddha, LA Cheese is an old-school cross of LA Confidential and Exodus Cheese. LA Cheese has a peppery, spicy flavor and is reportedly known to bring on the munchies. Since taking 3rd place at the 2010 High Times Cannabis Cup, LA Cheese has continued to increase in popularity among consumers. LA Cheese is a medium to a high-yield strain that typically takes 8-10 weeks to flower. It thrives in indoor and outdoor gardens with moderate difficulty, making it a better choice for more experienced cultivators."
1126,la-cheese,"Blue Jay Way is a medicinal cultivar created in Las Vegas by the team at Matrix NV. The strain is a combination of DJ Short's True Blueberry and OG Kush. Blue Jay Way has sharp orange aromas, tinted with tart berries and the traditional skunk of OG strains. The cultivar tastes of hops, pine, and sweet blueberries. Matrix NV's Blue Jay Way provides little growing information on the cultivar. Growers report that the strain prefers Mediterranean-like climates, whereas cold-exposure later in the growing cycle encourages the development of purple coloring in the buds. Blue Jay Way takes a skilled hand to cultivate correctly, but the strain should reach full maturity in approximately 65 days. Blue Jay Way is only available as clones."
1127,blue-jay-way,"The breeders at LivWell created the Limon strain as a three-way combination of Sour Diesel, Strawberry Diesel, and NYC Diesel. The top reported aromas of the Limon strain are citrus, diesel, and spiced earth. It is said to taste of berries, diesel, citrus, and soil. Limon is a mostly sativa strain. LivWell hasn’t released seeds but given its genetics, we can speculate that it produces tall plants with slim, long fan leaves. The strain likely thrives in indoor and outdoor settings, though indoor plants may need to be topped to manage height. Limon probably prefers warm climates with plenty of light and reaches maturity in a fast 49 to 63 days indoors and by mid-October in outdoor gardens. Limon is unavailable as seeds or clones."
1128,limon,"Frostbite is a sativa-dominant hybrid strain that gets its name from the frosty trichomes covering the buds. Despite its chilly name, Frostbite gives off cozy aromas, including spiced tea, earthy, and fruity. This strain is also considered a heavy hitter, so people who are new to cannabis should take it slowly. Frostbite grows into tall-reaching plants that are more sativa structurally. An easy-to-grow strain for novices, Frostbite is resistant to most pests and produces generous yields at harvest. The cultivar flowers in eight to nine weeks indoors and mid-October when grown outside. Frostbite is available as seeds and clones."
1129,frostbite,"Mazar I Sharif is a landrace cannabis cultivar, named for the city in Northern Afghanistan where the strain reportedly originated and is still grown today. Breeders consider Mazar I Sharif a 100% Indica strain, despite its potential to grow up to 400 centimeters, or more than 13 feet, tall with lanky limbs, characteristics more associated with landrace Sativa genetics. Mazar I Sharif is typically called either “Mazar” or “Sharif” by breeders, with seed available in multiple seed banks. Subtle presences of terpenes alpha-pinene and caryophyllene create deceptively mild pepper aromas that conceal Mazar I Sharif’s ability to relax and sedate, according to consumer accounts. Mazar I Sharif will flourish both indoors and outdoors in colder environments, flowering in 9-11 weeks and is reported to yield up to 22 ounces, or 624 grams, per plant if well-nourished. This cultivar’s effects are worthy of the 1999 Cannabis Cup’s Silver Medal for Best Indica"
1130,mazar-i-sharif,"Cherry Skunk is a cultivar of unconfirmed origins, thought to be a combination of Skunk Dawg and Poppa Cherry. The top reported aromas of the Cherry Skunk strain are berries, earth, and spiced skunk. And it is said to taste like cherries mixed with a skunk and sweet berries. Cherry Skunk is an indica-leaning hybrid with manageable, short branches and strong lateral branching. Its bushiness may require the occasional trim to encourage even distribution of air, moisture, and light. Cherry Skunk thrives both indoors and outdoors, reaching full maturity in seven to nine weeks indoors and mid-October outdoors. Cherry Skunk produces up to 12 ounces of flower per plant in ideal conditions. Cherry Skunk is available as clones only."
1131,cherry-skunk,"was a combination of Banana Sherbert and Tangie created by Crockett Family Farms, now part of DNA Genetics, to produce a cultivar with heavy resin and delicious fruity flavors. Double Tangie Banana features a fruity, citrus taste and matching pleasant aromas, according to Seedsman seed bank. Double Tangie Banana grows well indoors and outside, with a flowering time of about nine weeks. At full maturity, the cultivar delivers above-average yields of large, trichome-covered buds."
1132,double-tangie-banana,"Sour Grape is a cross of Sour Diesel and Granddaddy Purple, also known as Grand Daddy Purp or GDP — not to be confused with Sour Grapes from Apothecary Genetics, which is a cross of Sour Diesel and Grape Ape. As its name indicates, Sour Grape is often described as having a fruity and sour aroma, leading to a sweet grape flavor when consumed. The strain is reported to grow medium-sized, purple-hued buds in a 70-to-77-day flowering period. The bud’s blue and purple hues are also accentuated in the plant when exposed to colder temperatures at night. Sour Grape is suitable for either indoor or outdoor growing conditions, but reportedly thrives in warm, Mediterranean climates."
1133,sour-grape,"Dinafem Seeds created Shark Attack as a combination of Super Skunk and White Widow. The top reported aromas of the Shark Attack strain are spices, earth, and flowers. An indica-dominant hybrid, it is said to taste of lemon, hash, and herbs. Shark Attack is the winner of the following awards: 1st prize for Best Indoor at the 2016 Copa Cannabis Uruguay Shark Attack, which is mostly indica, produces squat, bushy plants with thick stalks and branches. The strain prefers semi-humid, temperate climates in either indoor or outdoor settings. Shark Attack reaches full maturity in 49 to 56 days inside while outdoor grows are ready for harvest in early October. In ideal conditions, Shark Attack can produce excellent yields up to 34 ounces per plant. Shark Attack is available as seeds only. Clones may be available directly from cultivators growing this strain."
1134,shark-attack,"The strain is an F1 Indica-dominant hybrid created by crossing two cannabis classics -- a Hawaiian Indica-dominant landrace and Skunk #1. Also known as ""The Real McCoy,"" unsubstantiated online sources report that Hawaiian Skunk was first grown in the early 2000s by an unidentified breeder. Testing in 2015 by Analytical 360 showed the strain has 19.70% total THC, and 0.13% CBD. Its dominant terpene was caryophyllene, and test results indicate it has a total terpene content of 1.78%. Hawaiian Skunk is best grown outdoors."
1135,hawaiian-skunk,"Kaboom by legendary cannabis breeder Subcool is a combination of Vortex and a backcross of Jack's Cleaner. The top reported aromas of the Kaboom strain are lemon, berry, and hash. It is said to taste like skunk, lemons, pineapple, and pepper. Kaboom is a sativa-leaning hybrid that grows very tall with dense, heavy buds. The strain flowers fast and provides boosted yields with regular topping and pruning. Kaboom flowers in 56 to 70 days indoors and by mid-October outdoors. Kaboom is available as seeds and clones."
1136,kaboom,"Chronic Thunder was created by Barney’s Farm when the breeders there crossed Alaskan Thunder with prolific producer Dr. Chronic. According to the breeder, the strain smells of earth, fuel, and spices with a similar but chocolatey taste. Chronic Thunder is a heavily indica cross between Alaskan Thunder and Dr. Chronic. It produces short, bushy plants thanks to its indica heritage. Chronic Thunder has a short average flowering time of just 49 to 63 days indoors or late-September outdoors. Due to its Dr. Chronic genetics, the strain is known to produce high yields in ideal conditions whether grown indoors or out. Chronic Thunder is available as seeds."
1137,chronic-thunder,"Emerald OG first originated in and was so named for California's Emerald Triangle, cultivated by the California Breeders Association. The strain is a combination of Emerald Diesel and Fire OG. The top reported aromas of the Emerald OG strain are citrus, earth, and floral notes. And it is said to taste like citrus, earthy vanilla, and pine. Emerald OG is an indica-leaning cultivar, producing tapered, cylindrical buds covered with trichomes and shocking purple coloring. The strain is easy-going on beginners and thrives in indoor and outdoor environments, preferring warm, Mediterranean-like climates. Emerald OG flowers in eight to nine weeks inside and mid-October outside. Its plants produce up to 12 ounces of bud at harvest. Emerald OG is available as seeds."
1138,emerald-og,"Multiple cultivars on the market carry the name White Berry, each with different genetics and created by different breeders. White Berry By Zamnesia White Berry combines White Widow and Blueberry, though the true origin of this hybrid is unknown. Breeders Zamnesia Seeds and Paradise Seeds both have White Berry strains with the same genetics, but neither disclose where the seeds originated. The cultivar has a fruity, sweet taste and matching terpene profile, tinged with a hint of pungent earthiness. THC ranges from 16% to 20%, according to online sources. White Berry By VIP Seeds White Berry is a three-way cross of Strawberry, Black Domina and an unknown parent by breeder VIP Seeds. The strain inherits all the berry and spice flavors of its parents, according to seed bank Zamnesia. White Berry By Zamnesia White Berry grows compactly to medium heights, flowers in a quick seven weeks, and prefers a sunny climate if planted outdoors. Paradise Seeds recommends Sea of Green (SOG) or Screen of Green (ScrOG) techniques for best results. Zamnesia adds that White Berry’s pest and disease resistance make it easy to handle for growers new and seasoned. The cultivar develops purple tinged foliage and a single cola covered with glistening trichomes. Both breeders report high yields from the strain. White Berry By VIP Seeds White Berry develops into medium-to-tall plants that produces high yields in about nine-to-10 weeks. Due to the growth of a large, central cola, online source recommend Sea of Green (SOG) or Screen of Green (ScrOG) for best results. Breeder and seed bank both report heavy resin production, leading to the white coat of trichomes that contributed to the strain’s name."
1139,white-berry,"Sour Kush is a DNA Genetics creation, bred from a Sour Diesel female and OG Kush male. Pungent with both fuel and skunky citrus aromas, Sour Kush features a heavy-hitting potency that’s easily explained by its parentage and a hefty percentage of limonene. Sour Kush is the perfect cultivar for novice growers looking to produce heavy yields. The medium-height plant prefers warmer, temperate outdoor climates but also does well in colder or indoor settings. Sour Kush typically reaches full maturity at nine weeks indoors or mid-October outdoors in the Northern Hemisphere."
1140,sour-kush,"New Glue, also called GG5, by GG strains is a combination of two phenotypes of the Glue family: Sister Glue (GG1) and Original Glue (GG4). The top reported aromas of the New Glue strain are diesel, earth, and sour fruit. It is said to taste like lemons, soil, and jet fuel. New Glue is an indica-leaning hybrid with shorter plants and a fast flowering period. The strain is somewhat tricky to grow but produces high yields when raised by experienced cultivators. New Glue flowers in eight to nine weeks indoors and by early October outdoors. Cultivators can boost yields by using the SOG method and hydroponic setups. New Glue is available as clones only."
1141,new-glue,"Big Kush is a cross between two legends – high yielding Big Skunk (aka Critical) and hugely popular OG Kush. The breeders at Dinafem Seeds created this strain to deliver the best qualities of OG Kush while addressing its spindly structure and low yields by injecting Skunk. The top reported aromas of the Big Kush strain are herbal, lemon, and diesel. And it is said to taste like sweet, sour, lemon. Big Kush is the winner of the following awards: 2017 First Prize Indoor Copa CABA, Argentina Big Kush is a balanced hybrid that’s a cross between Big Skunk and OG Kush. Big Kush produces tall plants with slender leaves. Big Kush has an average flowering time between 55 and 60 days and is known to produce high yields in ideal conditions. The Big Kush strain is best grown outdoors. Big Kush is available as seeds."
1142,big-kush,"Cherry Cream Pie, created by Exotic Genetix, is a combination of Cherry Pie and Cookies and Cream. The cultivar features pronounced OG notes with a hint of tart and pine on every exhale. Consumers report a heavy body stone associated with Cherry Cream Pie, so this strain may be best reserved for evening use. Cherry Cream Pie flowers both indoors and out, though it prefers hot, humid climates for optimal yields. The plants grow short and squat, with wide fan leaves and lateral branching that may require regular trimming. Growers can expose Cherry Cream Pie to cooler temperatures later in the growing cycle to achieve purple coloring in buds. The strain reaches full maturity in approximately nine weeks."
1143,cherry-cream-pie,"Cherry Sherbet is a cultivar of unconfirmed origins thought to be a combination of Sour Sherbet and Cherry Pie. The top reported aromas of the Cherry Sherbet strain are flowers, herbs, and citrus. It is said to taste of cherries, oranges, and herbs. Cherry Sherbet is an indica dominant hybrid that produces short, bushy plants. The strain thrives indoors where the Sea of Green (SOG) method can boost its yield. It also loves a dry, sunny climate though either scenario will produce slightly below-average yields. Cherry Sherbet flowers in 49 to 63 days indoors and in early October outside. Cherry Sherbet is unavailable as seeds or clones."
1144,cherry-sherbet,"Tangerine Power is a sativa-dominant hybrid from Sin City Seeds based out of Las Vegas, Nevada. The top reported aroma is a powerful citrus aroma from its Agent Orange parentage. The top reported flavors are sweet, candylike citrus, with earthy undertones. Tangerine Power is created by crossing the powerful sativa Agent Orange with Blue Power. Tangerine Power can be cultivated indoors or outdoors; however, when cultivated outdoors, the plant requires a warm, humid climate with consistently high temperatures between 70 and 80 degrees Fahrenheit. This grows to a medium height, flowers between 8-9 weeks, and offers a slightly lower than average yield of about 28-37 grams per square foot of plant."
1145,tangerine-power,"Citrus Punch is a sativa-forward hybrid created in Northern California by breeders at Potbox. It’s a tasty cross between Sour Tangie and Clementine. Citrus Punch smells like sweet, earthy citrus and tastes of grapefruit, lime, and tropical sweetness, according to sources online. Citrus Punch is a sativa-dominant strain cross between Sour Tangie and Clementine. The strain is quite rare and so is information about growing it. The sativa dominance suggests plants will be tall and slender with longer flowering times of more than 60 days. Citrus Punch is not available as seeds or clones."
1146,citrus-punch,"Silver Back (also called Silverback Gorilla) is an indica-dominant hybrid cross between Grape Ape and Super Silver Haze. Per its breeders at Colorado Seed Inc., Silver Back packs a punch with a THC content around 23-27%. The strain exudes piney, earthy, musky aromas with matching earthen flavors. Yields are reportedly small for Silver Back, which explains its rarity in dispensaries. Little growing information is available from the breeders or via other online sources."
1147,silver-back,"Despite its unknown origins, Black Cherry Soda is an indica-leaning hybrid strain that has become renowned for its fruity, soda-poplike flavor. Used to spawn other popular strains, such as Ace of Spades and Black Dahlia, the direct lineage of Black Cherry Soda remains a mystery. One reported story is that the strain was gifted to TGA Genetics and crossed to create other strains, but the breeding collective did not develop the original Black Cherry Soda strain. Black Cherry Soda plants are reported to grow tall and produce medium to large yields, leading to chunky, resin-laden colas that can take on a lush purple appearance, sometimes without even a hint of green. This strain is said to have an aroma of berries and an earthy undertone, along with a berry-flavored soda-poplike taste that ultimately inspired its name. One batch of the Black Cherry Soda cultivar, grown by the Washington state-based cannabis cultivator Mad Mark Farms, was tested by Confidence Analytics and had THC levels that exceeded 26%."
1148,black-cherry-soda,"Nebula’s story began in Amsterdam in the mid-90s, when breeders at Paradise Seeds crossed a Haze strain from the U.S. with Master Widow -- an offspring of White Widow from Dutch breeder Ingemar -- to create a strain with solid yields of tight, fruity, THC-heavy buds. The seed bank reports Nebula has a Sativa-leaning lineage, which accounts for its height, especially when grown outdoors with ample sunlight during a 60-to-65 day flowering period. Still, Nebula’s a versatile strain, responding well when grown both indoors or outdoors. It thrives under Sea of Green (SOG) grow methods. Paradise Seeds claims the strain produces heavy cerebral effects, testing between 18-22% THC. It won 2nd Place at High Times’ Cannabis Cup Amsterdam in 2005."
1149,nebula,"Godzilla Glue became the King of the Monsters by crossbreeding King Kong with GG #4. The flavor is sweet, with a touch of pine and diesel strong. Godzilla Glue's creation is attributed to the team at Pua Mana 1st Hawaiian Pakalolo Seed Bank, though many phenotypes and variations exist on the market today. Godzilla Glue is reportedly a ""super yielder"" and produces over three pounds of bud when properly grown outdoors. The strain reaches maturity in nine-to-ten weeks and — like the famed monster — Godzilla Glue is electric with almost every part having resin."
1150,godzilla-glue,"Cookie Wreck, also known as Cookie Trainwreck, is a cross of a Forum Cut of Girl Scout Cookies and H3ADS Gear’s TrainWreck BXII created by CannaVenture Seeds. Online sources describe Cookie Wreck’s flavor as a nutty, creamy vanilla with a similar, woody scent. The breeder puts the THC between 18-25% depending on the phenotype with some versions producing high percentages of an equal THC:CBD ratio. Cookie Wreck grows indoors or outside into medium height plants that flower in eight-to-nine weeks or September to early-October. The foliage and buds range from bright green to pinks, reds, and even purples along with a coating of resinous trichomes. With proper cultivation, Cookie Wreck produces very high yields, according to the breeder and Seedsman seed bank."
1151,cookie-wreck,"Produced in Boulder by The Farm Genetics, Golden Strawberry is a cross between Golden Goat and Sour Strawberry. It’s described by its breeders as a daytime cultivar that’s “powerful and lively, but not overbearing.” “[Parent] Golden Goat’s flavor really shines through, backed up by a hint of sugary sweetness,” Tha Farm Genetics, says. The strain averages 20-to-23 percent THC, 0.4 percent CBD and 0.7 percent CBG. The seed bank reports that Golden Strawberry tends to produce uplifting effects. The breeder reports it has mostly sativa lineage. The strain does best indoors, and growers can expect medium, bushy growth and a flowering period of 8-to-9 weeks."
1152,golden-strawberry,"Cannarado Genetics created Rocky Dennis as a combination of Sour Dubble and their proprietary CO Flo. It’s thought to be named for the boy with a facial deformity who inspired the movie “Mask.” The top reported aromas of the Rocky Dennis strain are spices, herbs, and sour diesel. It is said to taste like citrus, fuel, and earth. Rocky Dennis is a mysterious cultivar, thought by online sources to be a balanced hybrid with moderate lateral branching. The strain requires a skilled cultivator to attend to its needs. Rocky Dennis should flower in 56 to 63 days indoors, producing large yields of small, olive buds with amber trichomes. Rocky Dennis is unavailable as seeds or clones."
1153,rocky-dennis,"Kushberry is a cross of two legendary West Coast strains: a Blueberry father from Oregon and a Californian OG Kush mother created by DNA Genetics. The resulting strain features a lemony, berry flavor profile laced with notes of fuel. Kushberry averages between 15-20% THC, according to Amsterdam Seed Center. Kushberry won first place in the Outdoor category at Spannabis in 2008. Kushberry develops short, bushy plants that flower in eight-to-nine weeks, often producing very high yields. The cultivar produces plentiful dense buds with purple tints and thick layers of trichomes, according to clone nursery Exclusive Cannabis Cuts."
1154,kushberry,"Cookie Monster is a strain of mysterious origins, thought by online sources to be a cross of OG Kush and Girl Scout Cookies. It inherits the taste and aroma of its legendary parents, with sweet, herbal flavors and a pungent herbal cheese stench. Cookie Monster won first prize for Best Indica at the High Times’ Cannabis Cup in 2014. Cookie Monster grows well inside and outdoors in warm, semi-humid climates. The cultivar reaches full maturity after eight-to-nine weeks indoors or in mid-October outside. The strain’s small colas develop popcorn-like buds with curly red-orange pistils and a coating of sugary trichomes. Blue and purple colors sometimes appear, especially if the grower exposes the plants to lower temperatures late in the growing process. Seeds are hard to find but commercially produced clones are available online."
1155,cookie-monster,"World of Seeds created Strawberry Blue as a combination of Strawberry and a particular phenotype from the breeders' Blue family. The top reported aromas of the Strawberry Blue strain are berries, strawberries, and pepper. It is said to taste like sugar, tart berries, and earth. Strawberry Blue is a sativa-leaning cultivar with a relatively fast flowering time. The strain produces long, thin branches that achieve boosted yields when using ScrOG training. Strawberry Blue flowers in nine to ten weeks outdoors and by early October outdoors. In ideal conditions, cultivators can tease around 17 ounces of bud per plant. Strawberry Blue is available as seeds and clones."
1156,strawberry-blue,"Jet Fuel Gelato is a cultivar of mysterious origins thought to be a combination of Jet Fuel and Gelato. The top reported aromas of the Jet Fuel Gelato strain are diesel, sugar, and pine. It is said to taste of cookie dough, pine, and earth. Jet Fuel Gelato is thought to be a hybrid cultivar with medium-sized plants and strong branches. The strain grows well both indoors and outdoors, though its exact flowering time is unknown. At full maturity, Jet Fuel Gelato produces forest green nugs with orange spindles and amber trichomes. Jet Fuel Gelato is unavailable as seeds or clones."
1157,jet-fuel-gelato,"Mendocino County-based Aficionado Seeds created In The Pines as a combination of Pineapple Thai, Master Kush, and Pineapple. The breeders selected its genetics for a higher percentage of CBD. The top reported aromas of the In The Pines strain are pine, citrus, and wood. It is said to taste of tangerines, pine needles, and wet soil. In The Pines is a sativa-dominant hybrid with a relatively fast flowering time. The cultivar prefers warmer, semi-humid environments and requires a more experienced green thumb to grow successfully. In The Pines flowers in 49 to 63 days indoors and by mid-October outdoors. In The Pines is available as seeds only."
1158,in-the-pines,"DNA Genetics created Super Lemon OG as a combination of Captain Krypt OG and Super Lemon Haze. The top reported aromas of the Super Lemon OG strain are spices, earth, and lemon. It is said to taste of citrus, chemicals, and spices. Super Lemon OG is an indica-leaning hybrid that produces short plants with bushy branches and strong stalks. The strain is easy to grow for novice cultivators thanks to its resistance to most pests and molds. Super Lemon OG prefers sunny, dry climates where it flowers in 56 to 63 days indoors and mid-October outside. In ideal conditions, the cultivar produces up to 13 ounces of bud per plant, a relatively average-size yield. Super Lemon OG is available as seeds only. Clones may be available directly from cultivators growing this strain."
1159,super-lemon-og,"Sannie’s Seeds created Killing Fields, also spelled Killingfields, as a combination of The One and Sannie’s Jack, the breeder’s proprietary take on Jack Herer. The top reported aromas of the Killing Fields strain are grape, citrus, and spiced herbs. Its flavors are peppery with hints of lemon and spice. Killing Fields is a sativa-like hybrid that develops into large, tall plants that require regular maintenance and lots of space to grow. Killing Fields prefers warm, semi-humid environments with access to plentiful light. Growers seeking to highlight the strain’s purple coloring should expose their garden to cooler nighttime temperatures late in the growing period. Killing Fields reaches full maturity in 11-13 weeks indoors or early November outdoors. Killing Fields is available as seeds and clones."
1160,killing-fields,"Known as the Don of all OGs, this cross of XXX OG and Alpha OG is a Southern California medicinal community favorite with potent THC, as high as 28%, according to online sources. It smells like spicy grapes and has a similar, sweeter taste, according to online sources. According to the breeder, Godfather OG has strong, relaxing, sedative effects. Other Godfather OG strains may come from Bubba Kush, L.A. Confidential, and Granddaddy Purps or from OG Kush and Granddaddy Purps, but the lineage here is for the XXX OG x Alpha OG version. Godfather OG took first place for Best Indica at the High Times’ Cannabis Cup L.A. 2013. Given its heritage, it should grow well and flower in about eight to nine weeks indoors or early October in the Northern Hemisphere when cultivated outdoors."
1161,godfather-og,"The Captain’s Connection cast this spell by mixing its own Captain’s Cookies with the legendary GSC (formerly Girl Scout Cookies) to get cone-shaped buds covered with orange hairs and shimmering trichomes. According to reports online, Blissful Wizard lives up to its cookie heritage with a sweet, citrusy flavor profile and high THC levels. The hybrid is said to be excellent for pain relief, delivering an energetic lift. Blissful Wizard won first place in Non-Solvent Hash at the SoCal Cannabis Cup in 2015."
1162,blissful-wizard,"Critical Haze is a cross between two well-regarded strains -- the award-winning Critical Mass and Afghan Haze. Switzerland-based Mr. Nice Seed Bank also notes the hybrid combines Haze-style flavors. The high-yield plants have a flowering time that’s shorter than most Hazes, usually between 56 and 70 days."
1163,critical-haze,"Bogart is either a cross of Hindu Kush, Chemdawg, and Lemon Thai or it’s an OG Kush phenotype, depending on who you ask. The breeders at Tweed concocted and then discontinued the popular Canadian strain. Not surprisingly, Bogart smells like skunk, fuel, and sour lemons. It tastes similar with earthy, woody hints of pine and some tropical sweetness. Bogart is a hybrid cross of Hindu Kush, Chemdawg, and Lemon Thai. Breeder Tweed has kept everything pretty secret so there’s not much cultivation information available. It’s said to flower in about 63 days and produce high yields. It can be a bit difficult and pest-prone so controlled, indoor gardens are best. Bogart is not available as seeds or clones."
1164,bogart,"Donkey Butter, also known as Donkey Butt, is an indica-dominant hybrid from Exotic Genetix based out of Colorado. The top reported aromas are a pungent diesel scent, with earth and pine undertones. The top reported flavors are a peppery, earthy flavor with diesel and chemical notes. Donkey Butter was created by crossing Grease Monkey with Triple OG, with ancestry of GG4 and GSC genetics. It can be grown indoors or outdoors, but requires outdoor conditions to be hot and humid, with temperatures between 70 and 85 degrees Fahrenheit. As with typical indica plants, these tend to grow short and bushy, with medium to large-sized flowers that need regular pruning. Donkey Butter plants may benefit from being exposed to colder temperatures at night when it gets close to the flowering period, at 8-9 weeks, to enhance the plant’s natural purple color. Seeds of Donkey Butter are available for purchase online."
